Description,Vendor,Product,Severity,Attack Complexity,Attack Vector,Availability Impact,Confidentiality Impact,Integrity Impact,Privileges Required,Scope,User Interaction
"Dell PowerEdge Server BIOS and Dell Precision Rack BIOS contain an improper privilege management security vulnerability. An unauthenticated local attacker could potentially exploit this vulnerability, leading to privilege escalation.",Dell,PowerEdge Platform,HIGH,LOW,LOCAL,LOW,NONE,HIGH,NONE,CHANGED,NONE
Dell PowerEdge Server BIOS and Dell Precision Rack BIOS contain an improper parameter initialization vulnerability. A local low privileged attacker could potentially exploit this vulnerability to read the contents of non-SMM stack memory.,Dell,PowerEdge Platform	,LOW,LOW,LOCAL,NONE,LOW,NONE,LOW,CHANGED,NONE
"SMM Callout vulnerability within the AmdCpmDisplayFeatureSMM driver could allow locally authenticated attackers to overwrite SMRAM, potentially resulting in arbitrary code execution.",AMD,AMD Ryzen™ 3000 Series Desktop Processors,HIGH,LOW,LOCAL,HIGH,HIGH,HIGH,HIGH,CHANGED,NONE
"A flaw in the installer for Thales SafeNet Sentinel HASP LDK prior to 9.16 on Windows allows an attacker to escalate their privilege level via local access.

",Thales,Sentinel HASP LDK,HIGH,LOW,LOCAL,HIGH,HIGH,HIGH,NONE,UNCHANGED,REQUIRED
"An authorization bypass vulnerability was discovered in GitLab affecting versions 11.3 prior to 16.7.7, 16.7.6 prior to 16.8.4, and 16.8.3 prior to 16.9.2. An attacker could bypass CODEOWNERS by utilizing a crafted payload in an old feature branch to perform malicious actions.",GitLab,GitLab,HIGH,HIGH,NETWORK,NONE,HIGH,HIGH,LOW,CHANGED,REQUIRED
"An unsafe reflection vulnerability was identified in GitHub Enterprise Server that could lead to reflection injection. This vulnerability could lead to the execution of user-controlled methods and remote code execution. To exploit this bug, an actor would need to be logged into an account on the GHES instance with the organization owner role. This vulnerability affected all versions of GitHub Enterprise Server prior to 3.12 and was fixed in versions 3.8.13, 3.9.8, 3.10.5, and 3.11.3. This vulnerability was reported via the GitHub Bug Bounty program.

",GitHub,Enterprise Server,HIGH,HIGH,NETWORK,LOW,HIGH,LOW,HIGH,CHANGED,NONE
Authentication bypass in Fortra's GoAnywhere MFT prior to 7.4.1 allows an unauthorized user to create an admin user via the administration portal.,Fortra,GoAnywhere MFT,CRITICAL,LOW,NETWORK,HIGH,HIGH,HIGH,NONE,UNCHANGED,NONE
"
A symbolic link manipulation vulnerability in Trellix Anti-Malware Engine prior to the January 2024 release allows an authenticated local user to potentially gain an escalation of privileges. This was achieved by adding an entry to the registry under the Trellix ENS registry folder with a symbolic link to files that the user wouldn't normally have permission to. After a scan, the Engine would follow the links and remove the files

",Trellix,Anti-Malware Engine,HIGH,LOW,LOCAL,HIGH,NONE,HIGH,LOW,UNCHANGED,NONE
HTTP3 dissector crash in Wireshark 4.2.0 allows denial of service via packet injection or crafted capture file,Wireshark Foundation,Wireshark,HIGH,LOW,LOCAL,HIGH,HIGH,HIGH,NONE,UNCHANGED,REQUIRED
"GVCP dissector crash in Wireshark 4.2.0, 4.0.0 to 4.0.11, and 3.6.0 to 3.6.19 allows denial of service via packet injection or crafted capture file",Wireshark Foundation,Wireshark,HIGH,LOW,LOCAL,HIGH,HIGH,HIGH,NONE,UNCHANGED,REQUIRED
"IEEE 1609.2 dissector crash in Wireshark 4.2.0, 4.0.0 to 4.0.11, and 3.6.0 to 3.6.19 allows denial of service via packet injection or crafted capture file",Wireshark Foundation,Wireshark,HIGH,LOW,LOCAL,HIGH,HIGH,HIGH,NONE,UNCHANGED,REQUIRED
Zigbee TLV dissector crash in Wireshark 4.2.0 allows denial of service via packet injection or crafted capture file,Wireshark Foundation,Wireshark,HIGH,LOW,LOCAL,HIGH,HIGH,HIGH,NONE,UNCHANGED,REQUIRED
DOCSIS dissector crash in Wireshark 4.2.0 allows denial of service via packet injection or crafted capture file,Wireshark Foundation,Wireshark,HIGH,LOW,LOCAL,HIGH,HIGH,HIGH,NONE,UNCHANGED,REQUIRED
"The Cloudflare Wordpress plugin was found to be vulnerable to improper authentication. The vulnerability enables attackers with a lower privileged account to access data from the Cloudflare API.
",Cloudflare,Cloudflare-WordPress,HIGH,LOW,NETWORK,NONE,HIGH,HIGH,LOW,UNCHANGED,NONE
"
A buffer overflow vulnerability in TA for Linux and TA for MacOS prior to 5.8.1 allows a local user to gain elevated permissions, or cause a Denial of Service (DoS), through exploiting a memory corruption issue in the TA service, which runs as root. This may also result in the disabling of event reporting to ePO, caused by failure to validate input from the file correctly. 

",Trellix,Trellix Agent (TA),HIGH,LOW,LOCAL,HIGH,HIGH,HIGH,LOW,CHANGED,REQUIRED
"A Denial of Service (Dos) vulnerability in Nozomi Networks Guardian, caused by improper input validation in certain fields used in the Radius parsing functionality of our IDS, allows an unauthenticated attacker sending specially crafted malformed network packets to cause the IDS module to stop updating nodes, links, and assets.



Network traffic may not be analyzed until the IDS module is restarted.",Nozomi Networks,Guardian,HIGH,LOW,NETWORK,HIGH,NONE,NONE,NONE,UNCHANGED,NONE
"In Telerik JustDecompile versions prior to 2024 R1, a privilege elevation vulnerability has been identified in the applications installer component.  In an environment where an existing Telerik JustDecompile install is present, a lower privileged user has the ability to manipulate the installation package to elevate their privileges on the underlying operating system.",Progress Software,Telerik JustDecompile,HIGH,HIGH,LOCAL,HIGH,HIGH,HIGH,LOW,CHANGED,NONE
B&R Automation Studio Upgrade Service and B&R Technology Guarding use insufficient cryptography for communication to the upgrade and the licensing servers. A network-based attacker could exploit the vulnerability to execute arbitrary code on the products or sniff sensitive data.,B&R Industrial Automation,Automation Studio,HIGH,HIGH,NETWORK,HIGH,HIGH,HIGH,NONE,CHANGED,REQUIRED
Synopsys Seeker versions prior to 2023.12.0 are vulnerable to a stored cross-site scripting vulnerability through a specially crafted payload.,Synopsys,Seeker,MEDIUM,LOW,NETWORK,NONE,LOW,LOW,HIGH,CHANGED,REQUIRED
"A resource misdirection vulnerability in GitLab CE/EE versions 12.0 prior to 17.0.5, 17.1 prior to 17.1.3, and 17.2 prior to 17.2.1 allows an attacker to craft a repository import in such a way as to misdirect commits.",GitLab,GitLab,LOW,LOW,NETWORK,NONE,NONE,LOW,HIGH,UNCHANGED,NONE
"A memory leak in the Silicon Labs' Bluetooth stack for EFR32 products may cause memory to be exhausted when sending notifications to multiple clients, this results in all Bluetooth operations, such as advertising and scanning, to stop.",silabs.com,GSDK,MEDIUM,LOW,ADJACENT_NETWORK,HIGH,NONE,NONE,NONE,UNCHANGED,NONE
Under certain circumstances IQ Panel4 and IQ4 Hub panel software prior to version 4.4.2 could allow unauthorized access to settings.,"Qolsys, Inc.",IQ Panel 4,HIGH,LOW,PHYSICAL,HIGH,NONE,HIGH,NONE,CHANGED,NONE
"Buffer overflow in CPCA PCFAX number process of Office Multifunction Printers and Laser Printers(*) which may allow an attacker on the network segment to trigger the affected product being unresponsive or to execute arbitrary code.*:Satera MF750C Series firmware v03.07 and earlier sold in Japan. Color imageCLASS MF750C Series/Color imageCLASS X MF1333C firmware v03.07 and earlier sold in US. i-SENSYS MF754Cdw/C1333iF firmware v03.07 and earlier sold in Europe.

",Canon Inc.,Satera MF750C Series,CRITICAL,LOW,NETWORK,HIGH,HIGH,HIGH,NONE,UNCHANGED,NONE
ManageEngine ADSelfService Plus versions 6401 and below are vulnerable to the remote code execution due to the improper handling in the load balancer component. Authentication is required in order to exploit this vulnerability.,ManageEngine,ADSelfService Plus,HIGH,LOW,NETWORK,HIGH,HIGH,HIGH,LOW,UNCHANGED,NONE
ManageEngine ADAudit Plus versions 7270 and below are vulnerable to the Authenticated SQL injection in home Graph-Data.,ManageEngine,ADAudit Plus,HIGH,LOW,NETWORK,LOW,HIGH,HIGH,LOW,UNCHANGED,NONE
"
RoboDK v5.5.4

 is vulnerable to heap-based buffer overflow while processing a specific project file. The resulting memory corruption may crash the application.

",RoboDK,RoboDK,LOW,LOW,LOCAL,LOW,NONE,NONE,NONE,UNCHANGED,REQUIRED
"Fortra's Robot Schedule Enterprise Agent for Windows prior to version 3.04 is susceptible to privilege escalation. A low-privileged user can overwrite the service executable. When the service is restarted, the replaced binary runs with local system privileges, allowing a low-privileged user to gain elevated privileges.

",Fortra,Robot Schedule Enterprise Agent,HIGH,LOW,LOCAL,HIGH,HIGH,HIGH,LOW,UNCHANGED,REQUIRED
ManageEngine ADAudit Plus versions 7270 and below are vulnerable to the Authenticated SQL injection in File-Summary DrillDown. This issue has been fixed and released in version 7271.,ManageEngine,ADAudit Plus,HIGH,LOW,NETWORK,LOW,HIGH,HIGH,LOW,UNCHANGED,NONE
"
in OpenHarmony v4.0.0 and prior versions allow a local attacker cause DOS through improper input.",OpenHarmony,OpenHarmony,MEDIUM,HIGH,ADJACENT_NETWORK,LOW,NONE,LOW,NONE,CHANGED,NONE
"
A content-security-policy vulnerability in ENS Control browser extension prior to 10.7.0 Update 15 allows a remote attacker to alter the response header parameter setting to switch the content security policy into report-only mode, allowing an attacker to bypass the content-security-policy configuration. 

",Trellix,Trellix Endpoint Security (ENS) Web Control,MEDIUM,LOW,NETWORK,NONE,LOW,LOW,NONE,CHANGED,REQUIRED
A malicious insider can bypass the existing policy of Skyhigh Client Proxy without a valid release code.,Skyhigh,Skyhigh Client Proxy,MEDIUM,LOW,LOCAL,NONE,NONE,HIGH,LOW,UNCHANGED,NONE
A malicious insider can uninstall Skyhigh Client Proxy without a valid uninstall password.,Skyhigh,Skyhigh Client Proxy,MEDIUM,LOW,LOCAL,NONE,NONE,HIGH,LOW,UNCHANGED,NONE
"A malicious insider exploiting this vulnerability can circumvent existing security controls put in place by the organization. On the contrary, if the victim is legitimately using the temporary bypass to reach out to the Internet for retrieving application and system updates, a remote device could target it and undo the bypass, thereby denying the victim access to the update service, causing it to fail. ",Skyhigh,Skyhigh Client Proxy,MEDIUM,LOW,LOCAL,NONE,NONE,HIGH,LOW,UNCHANGED,NONE
"XSS vulnerability in FireEye Central Management affecting version 9.1.1.956704, which could allow an attacker to modify special HTML elements in the application and cause a reflected XSS, leading to a session hijacking.",FireEye ,FireEye Central Management,MEDIUM,LOW,NETWORK,NONE,LOW,LOW,NONE,UNCHANGED,REQUIRED
Remote file inclusion vulnerability in FireEye Central Management affecting version 9.1.1.956704. This vulnerability allows an attacker to upload a malicious PDF file to the system during the report creation process.,FireEye ,FireEye Central Management,MEDIUM,LOW,LOCAL,LOW,HIGH,LOW,LOW,UNCHANGED,NONE
"Improper cleanup vulnerability in exceptions thrown in FireEye Endpoint Security, affecting version 5.2.0.958244. This vulnerability could allow an attacker to send multiple request packets to the containment_notify/preview parameter, which could lead to a service outage.",FireEye ,FireEye Endpoint Security,MEDIUM,LOW,LOCAL,HIGH,NONE,LOW,NONE,UNCHANGED,NONE
"Cross-Site Scripting in FireEye EX, affecting version 9.0.3.936727. Exploitation of this vulnerability allows an attacker to send a specially crafted JavaScript payload via the 'type' and 's_f_name' parameters to an authenticated user to retrieve their session details.",FireEye ,FireEye EX,MEDIUM,LOW,NETWORK,NONE,LOW,LOW,NONE,UNCHANGED,REQUIRED
Cross-Site Scripting in FireEye HXTool affecting version 4.6. This vulnerability allows an attacker to store a specially crafted JavaScript payload in the 'Profile Name' and 'Hostname/IP' parameters that will be triggered when items are loaded.,FireEye ,FireEye HXTool,MEDIUM,LOW,NETWORK,NONE,LOW,LOW,NONE,UNCHANGED,REQUIRED
"Open Redirect vulnerability in FireEye HXTool affecting version 4.6, the exploitation of which could allow an attacker to redirect a legitimate user to a malicious page by changing the 'redirect_uri' parameter.",FireEye ,FireEye HXTool,MEDIUM,LOW,NETWORK,NONE,LOW,LOW,NONE,UNCHANGED,REQUIRED
Cross-Site Scripting in FireEye Malware Analysis (AX) affecting version 9.0.3.936530. This vulnerability allows an attacker to send a specially crafted JavaScript payload in the application URL to retrieve the session details of a legitimate user.,FireEye ,FireEye Malware Analysis (AX),MEDIUM,LOW,NETWORK,NONE,LOW,LOW,NONE,UNCHANGED,REQUIRED
"The FTP server used on the B&R
Automation Runtime supports unsecure encryption mechanisms, such as SSLv3,
TLSv1.0 and TLS1.1. An network-based attacker can exploit the flaws to conduct
man-in-the-middle attacks or to decrypt communications between the affected product
clients.",B&R Industrial Automation,Automation Runtime,CRITICAL,LOW,NETWORK,HIGH,HIGH,HIGH,NONE,UNCHANGED,NONE
"In Helix Sync versions prior to 2024.1, a local command injection was identified.  Reported by Bryan Riggins.  
",Helix,Sync,LOW,HIGH,LOCAL,NONE,LOW,LOW,LOW,UNCHANGED,NONE
"ABB has internally identified a vulnerability in the ABB VPNI feature of the S+ Control API component which may 
be used by several Symphony Plus products (e.g., S+ Operations, S+ Engineering and S+ Analyst)


This issue affects Symphony Plus S+ Operations: from 3..0;0 through 3.3 SP1 RU4, from 2.1;0 through 2.1 SP2 RU3, from 2.0;0 through 2.0 SP6 TC6; Symphony Plus S+ Engineering: from 2.1 through 2.3 RU3; Symphony Plus S+ Analyst: from 7.0.0.0 through 7.2.0.2.",ABB,Symphony Plus S+ Operations,HIGH,LOW,NETWORK,HIGH,NONE,NONE,NONE,UNCHANGED,NONE
A buffer overflow vulnerability has been found in XAMPP affecting version 8.2.4 and earlier. An attacker could execute arbitrary code through a long file debug argument that controls the Structured Exception Handler (SEH).,Apachefriends,XAMPP,HIGH,LOW,LOCAL,HIGH,HIGH,HIGH,LOW,UNCHANGED,REQUIRED
Local privilege escalation vulnerability potentially allowed an attacker to misuse ESET’s file operations to delete files without having proper permission.,"ESET, spol. s r.o.",ESET NOD32 Antivirus,HIGH,LOW,LOCAL,HIGH,HIGH,HIGH,LOW,UNCHANGED,NONE
The EDS-4000/G4000 Series prior to version 3.2 includes IP forwarding capabilities that users cannot deactivate. An attacker may be able to send requests to the product and have it forwarded to the target. An attacker can bypass access controls or hide the source of malicious requests.,Moxa,EDS-4008 Series,MEDIUM,LOW,ADJACENT_NETWORK,LOW,LOW,LOW,LOW,CHANGED,NONE
"A Cross-Site Request Forgery (CSRF) vulnerability exists in the management console of WSO2 Enterprise Integrator 6.6.0 due to the absence of CSRF token validation. This flaw allows attackers to craft malicious requests that can trigger state-changing operations on behalf of an authenticated user, potentially compromising account settings and data integrity. The vulnerability only affects a limited set of state-changing operations, and successful exploitation requires social engineering to trick a user with access to the management console into performing the malicious action.",WSO2,WSO2 Enterprise Integrator,MEDIUM,LOW,NETWORK,LOW,NONE,LOW,NONE,UNCHANGED,REQUIRED
"Rapid7 Minerva Armor versions below 4.5.5 suffer from a privilege escalation vulnerability whereby an authenticated attacker can elevate privileges and execute arbitrary code with SYSTEM privilege.  The vulnerability is caused by the product's implementation of OpenSSL's`OPENSSLDIR` parameter where it is set to a path accessible to low-privileged users.  The vulnerability has been remediated and fixed in version 4.5.5. 
",Rapid7,Minerva,HIGH,LOW,LOCAL,HIGH,HIGH,HIGH,LOW,UNCHANGED,NONE
"
In Progress MOVEit Transfer versions released before 2022.0.10 (14.0.10), 2022.1.11 (14.1.11), 2023.0.8 (15.0.8), 2023.1.3 (15.1.3), an input validation issue was discovered.  An authenticated user can manipulate a parameter in an HTTPS transaction.  The modified transaction could lead to computational errors within MOVEit Transfer and potentially result in a denial of service.

",Progress Software Corporation,MOVEit Transfer,HIGH,LOW,NETWORK,HIGH,NONE,LOW,LOW,UNCHANGED,NONE
"SCM Software is a client and server application. An Authenticated System manager client can execute LINQ query in the SCM server, for customized filtering. An Authenticated malicious client can send a specially crafted code to skip the validation and execute arbitrary code (RCE) on the SCM Server remotely. Malicious clients can execute any command by using this RCE vulnerability.",Hitachi Energy,MACH SCM,HIGH,HIGH,NETWORK,HIGH,HIGH,HIGH,LOW,UNCHANGED,NONE
"ASUS routers supporting custom OpenVPN profiles are vulnerable to a code execution vulnerability. An authenticated and remote attacker can execute arbitrary operating system commands by uploading a crafted OVPN profile. Known affected routers include ASUS ExpertWiFi, ASUS RT-AX55, ASUS RT-AX58U, ASUS RT-AC67U, ASUS RT-AC68R, ASUS RT-AC68U, ASUS RT-AX86, ASUS RT-AC86U, ASUS RT-AX88U, and ASUS RT-AX3000.",ASUS,ExpertWiFi,HIGH,LOW,NETWORK,HIGH,HIGH,HIGH,HIGH,UNCHANGED,NONE
"An issue has been discovered in GitLab CE/EE affecting all versions from 16.0 prior to 16.6.6, 16.7 prior to 16.7.4, and 16.8 prior to 16.8.1 which allows an authenticated user to write files to arbitrary locations on the GitLab server while creating a workspace.",GitLab,GitLab,CRITICAL,LOW,NETWORK,HIGH,HIGH,HIGH,LOW,CHANGED,NONE
"Recipes version 1.5.10 allows arbitrary HTTP requests to be made

through the server. This is possible because the application is

vulnerable to SSRF.




",Recipes,Recipes,MEDIUM,LOW,NETWORK,NONE,LOW,NONE,NONE,UNCHANGED,NONE
"An authorization bypass vulnerability was discovered in GitLab affecting versions 15.1 prior to 16.7.6, 16.8 prior to 16.8.3, and 16.9 prior to 16.9.1. A developer could bypass CODEOWNERS approvals by creating a merge conflict.",GitLab,GitLab,HIGH,HIGH,NETWORK,NONE,HIGH,HIGH,LOW,CHANGED,REQUIRED
"A denial service vulnerability has been found on  Hex Workshop affecting version 6.7, an attacker could send a command line file arguments and control the Structured Exception Handler (SEH) records resulting in a service shutdown.",Hex Workshop,Hex Workshop,HIGH,LOW,LOCAL,HIGH,HIGH,HIGH,LOW,UNCHANGED,REQUIRED
IObit Malware Fighter v11.0.0.1274 is vulnerable to a Denial of Service vulnerability by triggering the 0x8001E00C IOCTL code of the ImfHpRegFilter.sys driver.,IObit,IObit Malware Fighter,MEDIUM,LOW,LOCAL,HIGH,NONE,NONE,LOW,UNCHANGED,NONE
"A maliciously crafted STP, CATPART or MODEL file, when parsed in ASMKERN228A.dll and ASMdatax229A.dll through Autodesk AutoCAD, may force an Out-of-Bounds Write vulnerability. A malicious actor may leverage this vulnerability to cause a crash, cause data corruption, or execute arbitrary code in the context of the current process.",Autodesk,AutoCAD,HIGH,LOW,LOCAL,HIGH,HIGH,HIGH,NONE,UNCHANGED,REQUIRED
"An issue was found in the CPython `zipfile` module affecting versions 3.12.1, 3.11.7, 3.10.13, 3.9.18, and 3.8.18 and prior.

The zipfile module is vulnerable to “quoted-overlap” zip-bombs which exploit the zip format to create a zip-bomb with a high compression ratio. The fixed versions of CPython makes the zipfile module reject zip archives which overlap entries in the archive.

",Python Software Foundation,CPython,MEDIUM,LOW,LOCAL,HIGH,NONE,NONE,NONE,UNCHANGED,NONE
"ELAN Match-on-Chip FPR solution has design fault about potential risk of valid SID leakage and enumeration with spoof sensor.
This fault leads to that Windows Hello recognition would be bypass with cloning SID to cause broken account identity.
Version which is lower than 3.0.12011.08009(Legacy)/3.3.12011.08103(ESS) would suffer this risk on DELL Inspiron platform.",ELAN,DELL Inspiron,MEDIUM,LOW,PHYSICAL,LOW,HIGH,HIGH,LOW,UNCHANGED,REQUIRED
"An authorization vulnerability exists in GitLab versions 14.0 prior to 16.6.6, 16.7 prior to 16.7.4, and 16.8 prior to 16.8.1. An unauthorized attacker is able to assign arbitrary users to MRs that they created within the project",GitLab,GitLab,MEDIUM,LOW,NETWORK,NONE,NONE,LOW,LOW,UNCHANGED,NONE
"An attacker with access to a Management Console user account with the editor role could escalate privileges through a command injection vulnerability in the Management Console. This vulnerability affected all versions of GitHub Enterprise Server and was fixed in versions 3.11.3, 3.10.5, 3.9.8, and 3.8.13 This vulnerability was reported via the GitHub Bug Bounty program.",GitHub,Enterprise Server,MEDIUM,LOW,NETWORK,NONE,HIGH,HIGH,HIGH,UNCHANGED,NONE
Intumit inc. SmartRobot's web framwork has a remote code execution vulnerability. An unauthorized remote attacker can exploit this vulnerability to execute arbitrary commands on the remote server.,Intumit inc.,SmartRobot,CRITICAL,LOW,NETWORK,HIGH,HIGH,HIGH,NONE,UNCHANGED,NONE
"A Cross-site scripting (XSS) vulnerability has been found on WIC1200, affecting version 1.1. An authenticated user could store a malicious javascript payload in the device model parameter via '/setup/diags_ir_learn.asp', allowing the attacker to retrieve the session details of another user.",Full Compass Systems,WIC1200,MEDIUM,LOW,NETWORK,LOW,LOW,LOW,LOW,UNCHANGED,REQUIRED
"A Cross-Site Request Forgery (CSRF) vulnerability has been found on WIC1200, affecting version 1.1. An authenticated user could lead another user into executing unwanted actions inside the application they are logged in. This vulnerability is possible due to the lack of propper CSRF token implementation.",Full Compass Systems,WIC1200,MEDIUM,LOW,NETWORK,LOW,NONE,LOW,LOW,UNCHANGED,REQUIRED
A Weak Cryptography for Passwords vulnerability has been detected on WIC200 affecting version 1.1. This vulnerability allows a remote user to intercept the traffic and retrieve the credentials from another user and decode it in base64 allowing the attacker to see the credentials in plain text.,Full Compass Systems,WIC1200,HIGH,LOW,NETWORK,NONE,HIGH,LOW,LOW,UNCHANGED,NONE
Denial of service condition in M-Files Server in versions before 24.2 (excluding 23.2 SR7 and 23.8 SR5) allows anonymous user to cause denial of service against other anonymous users.,M-Files Corporation,M-Files Server,MEDIUM,LOW,NETWORK,LOW,NONE,NONE,LOW,UNCHANGED,NONE
"
CWE-287: Improper Authentication vulnerability exists that could cause unauthorized tampering
of device configuration over NFC communication.

",Schneider Electric,Harmony Control Relay RMNF22TB30,HIGH,LOW,ADJACENT_NETWORK,HIGH,HIGH,HIGH,NONE,UNCHANGED,NONE
"Omission of user-controlled key authorization in the IDMSistemas platform, affecting the QSige product. This vulnerability allows an attacker to extract sensitive information from the API by making a request to the parameter '/qsige.locator/quotePrevious/centers/X', where X supports values 1,2,3, etc.",IDMSistemas,"Sinergia, Sinergia 2.0, and Sinergia Corporativo",MEDIUM,LOW,NETWORK,NONE,HIGH,NONE,NONE,UNCHANGED,REQUIRED
"An Uncontrolled Resource Consumption vulnerability has been found on Sandsprite Scdbg.exe, affecting version 1.0. This vulnerability allows an attacker to send a specially crafted shellcode payload to the '/foff' parameter and cause an application shutdown. A malware program could use this shellcode sequence to shut down the application and evade the scan.",Sandsprite,Scdbg,MEDIUM,LOW,LOCAL,LOW,NONE,NONE,NONE,UNCHANGED,NONE
"Local privilege escalation vulnerability affects OpenText Operations Agent product versions 12.15 and 12.20-12.25 when installed on Non-Windows platforms. The vulnerability could allow local privilege escalation. 
",opentext,Operations Agent ,HIGH,LOW,LOCAL,HIGH,HIGH,HIGH,LOW,CHANGED,NONE
"Inadequate access control in the C21 Live Encoder and Live Mosaic product, version 5.3. This vulnerability allows a remote attacker to access the application as an administrator user through the application endpoint, due to lack of proper credential management.",Cires21,C21 Live Encoder and Live Mosaic,CRITICAL,LOW,NETWORK,HIGH,HIGH,HIGH,NONE,UNCHANGED,NONE
"Unrestricted upload of dangerous file types in the C21 Live Encoder and Live Mosaic product, version 5.3. This vulnerability allows a remote attacker to upload different file extensions without any restrictions, resulting in a full system compromise.",Cires21,C21 Live Encoder and Live Mosaic,CRITICAL,LOW,NETWORK,HIGH,HIGH,HIGH,NONE,CHANGED,NONE
Buffer overflow vulnerability in Explorer++ affecting version 1.3.5.531. A local attacker could execute arbitrary code via a long filename argument by monitoring Structured Exception Handler (SEH) records.,explorerplusplus,Explorer++.exe,HIGH,LOW,LOCAL,HIGH,HIGH,HIGH,LOW,UNCHANGED,REQUIRED
A Cross-Frame Scripting vulnerability has been found on Plone CMS affecting verssion below 6.0.5. An attacker could store a malicious URL to be opened by an administrator and execute a malicios iframe element.,Plone CMS,Plone CMS,MEDIUM,LOW,NETWORK,LOW,LOW,LOW,LOW,UNCHANGED,NONE
"Privilege escalation vulnerability in Lamassu Bitcoin ATM Douro machines, in its 7.1 version, which could allow a local user to acquire root permissions by modifying the updatescript.js, inserting special code inside the script and creating the done.txt file. This would cause the watchdog process to run as root and execute the payload stored in the updatescript.js.",Lamassu,Bitcoin ATM Douro machines,MEDIUM,HIGH,PHYSICAL,HIGH,HIGH,HIGH,LOW,UNCHANGED,NONE
"Vulnerability of improper checking for unusual or exceptional conditions

in Lamassu Bitcoin ATM Douro machines, in its 7.1 version,

 the exploitation of which could allow an attacker with physical access to the ATM to escape kiosk mode, access the underlying Xwindow interface and execute arbitrary commands as an unprivileged user.
",Lamassu,Bitcoin ATM Douro machines,MEDIUM,HIGH,PHYSICAL,HIGH,HIGH,HIGH,LOW,UNCHANGED,NONE
"Weak password requirement vulnerability 

in Lamassu Bitcoin ATM Douro machines, in its 7.1 version

, which allows a local user to interact with the machine where the application is installed, retrieve stored hashes from the machine and crack long 4-character passwords using a dictionary attack.",Lamassu,Bitcoin ATM Douro machines,MEDIUM,HIGH,PHYSICAL,NONE,HIGH,HIGH,LOW,UNCHANGED,NONE
"The SolarWinds Security Event Manager was susceptible to Remote Code Execution Vulnerability. This vulnerability allows an unauthenticated user to abuse SolarWinds’ service, resulting in remote code execution.",SolarWinds ,Security Event Manager ,HIGH,LOW,ADJACENT_NETWORK,HIGH,HIGH,HIGH,NONE,UNCHANGED,NONE
"Expression Language Injection vulnerability in Hitachi Global Link Manager on Windows allows Code Injection.This issue affects Hitachi Global Link Manager: before 8.8.7-03.

",Hitachi,Hitachi Global Link Manager,HIGH,LOW,NETWORK,HIGH,LOW,LOW,LOW,UNCHANGED,NONE
"Eclipse Target Management: Terminal and Remote System Explorer (RSE) version <= 4.5.400 has a remote code execution vulnerability that does not require authentication. 





The fixed version is included in Eclipse IDE 2024-03


",Eclipse Foundation,Eclipse Target Management,CRITICAL,LOW,NETWORK,HIGH,HIGH,HIGH,NONE,UNCHANGED,NONE
"A malicious client can send many DNS messages over TCP, potentially causing the server to become unstable while the attack is in progress. The server may recover after the attack ceases. Use of ACLs will not mitigate the attack. 
This issue affects BIND 9 versions 9.18.1 through 9.18.27, 9.19.0 through 9.19.24, and 9.18.11-S1 through 9.18.27-S1.",ISC,BIND 9,HIGH,LOW,NETWORK,HIGH,NONE,NONE,NONE,UNCHANGED,NONE
"Potential buffer overflow 
in unsafe UEFI variable handling 

in Phoenix SecureCore™ for select Intel platforms

This issue affects:

Phoenix 

SecureCore™ for Intel Kaby Lake: from 4.0.1.1 before 4.0.1.998;

Phoenix 

SecureCore™ for Intel Coffee Lake: from 4.1.0.1 before 4.1.0.562;

Phoenix 

SecureCore™ for Intel Ice Lake: from 4.2.0.1 before 4.2.0.323;

Phoenix 

SecureCore™ for Intel Comet Lake: from 4.2.1.1 before 4.2.1.287;

Phoenix 

SecureCore™ for Intel Tiger Lake: from 4.3.0.1 before 4.3.0.236;

Phoenix 

SecureCore™ for Intel Jasper Lake: from 4.3.1.1 before 4.3.1.184;

Phoenix 

SecureCore™ for Intel Alder Lake: from 4.4.0.1 before 4.4.0.269;

Phoenix 

SecureCore™ for Intel Raptor Lake: from 4.5.0.1 before 4.5.0.218;

Phoenix 

SecureCore™ for Intel Meteor Lake: from 4.5.1.1 before 4.5.1.15.",Phoenix,SecureCore™ for Intel Kaby Lake,HIGH,HIGH,LOCAL,HIGH,HIGH,HIGH,HIGH,CHANGED,NONE
SUPERAntiSpyware Pro X v10.0.1260 is vulnerable to kernel-level API parameters manipulation and Denial of Service vulnerabilities by triggering the 0x9C402140 IOCTL code of the saskutil64.sys driver.,SUPERAntiSpyware,SUPERAntiSpyware Pro X,MEDIUM,HIGH,LOCAL,HIGH,LOW,LOW,LOW,UNCHANGED,NONE
An authentication bypass vulnerability exists in Arcserve Unified Data Protection 9.2 and 8.1 in the edge-app-base-webui.jar!com.ca.arcserve.edge.app.base.ui.server.EdgeLoginServiceImpl.doLogin() function within wizardLogin.,Arcserve,Unified Data Protection,CRITICAL,LOW,NETWORK,HIGH,HIGH,HIGH,NONE,UNCHANGED,NONE
A path traversal vulnerability exists in Arcserve Unified Data Protection 9.2 and 8.1 in edge-app-base-webui.jar!com.ca.arcserve.edge.app.base.ui.server.servlet.ImportNodeServlet.,Arcserve,Unified Data Protection,HIGH,LOW,NETWORK,HIGH,HIGH,HIGH,LOW,UNCHANGED,NONE
